balanced parentheses,F(l) & F(r) & F( (l|r) U r ),((F r) U (l & (F r))),False,90.87,94.77,12.93,13.84,16.01735496520996,73283.40718085831,7.384323695479546,"['', 'lr', 'l', 'alr', 'r', 'rr', 'rllaarrarr', 'ra', 'la', 'ar', 'rl', 'lrl']",961,241
balanced parentheses,F(l) & F(r) & F( (l|a) U r ),((F r) U (l & (F r))),False,90.87,94.77,12.93,13.84,16.014163970947266,383.3259857516607,9.485443662221105,"['', 'lr', 'l', 'alr', 'r', 'rr', 'rlaaaalarar', 'rl', 'lra', 'la', 'ar', 'rlr']",961,241
balanced parentheses,F(l) & F(r) & ~(F( (l|a) U r )),false,True,90.87,,,,0.26224803924560547,,,[''],961,241
alternating bit protocol,false,false,True,99.38,,,,0.26163816452026367,,,[''],1303,326
alternating bit protocol,a & X(c) & X(X(b)) & X(X(Xd)),false,True,99.38,100.0,40.0,40.0,0.26648616790771484,,,[''],1303,326
alternating bit protocol,a & (X(c)) & (X(X(b))) & (X(X(Xd))),false,True,99.38,100.0,25.0,25.0,0.25916290283203125,,,[''],1303,326
alternating bit protocol,true,((b | (a | c)) -> (X (b | (a | c)))),False,99.38,99.92,42.44,42.51,16.013753175735474,2.7927901216119023e+67,2.6767800044605394,"['b', '', 'c', 'a', 'acbd', 'bd', 'abdd', 'ad', 'aacdd', 'ac']",1303,326
alternating bit protocol,a & (X(c)) & (X(X(b))) & (X(X(Xd))),(a & (X (X b))),False,99.38,100.0,75.0,75.0,16.727936029434204,5.456150876218652e+45,0.25813339760058013,"['', 'acbd', 'a', 'b', 'd', 'bc', 'cd', 'db', 'cab', 'ac', 'ad', 'dcad', 'ab', 'bd', 'cad', 'ccb', 'abb']",1303,326
alternating bit protocol,F(a &X(b)),((X (~ c)) & (X (X (~ c)))),False,99.38,100.0,41.16,41.16,16.01518678665161,1.0628777298972836e+134,1.5675070957027153,"['', 'abdd', 'a', 'd', 'dddabd', 'b', 'db', 'bd', 'abbd', 'acd', 'ba', 'dacb', 'ab', 'dddaabbb', 'dda']",1303,326
alternating bit protocol,~F(a),(G (~ (a | (b | c)))),True,99.38,100.0,100.0,100.0,6.22526216506958,,,"['b', '', 'a', 'c', 'da', 'db']",1303,326
alternating bit protocol,~F(b),((c | (a | b)) -> (X a)),False,99.38,100.0,56.81,56.81,16.013844966888428,1.6092933303063404e+44,0.5174819312334393,"['b', '', 'c', 'a', 'aaaacdd', 'db']",1303,326
alternating bit protocol,(F(a &X(c))),(X (X (X true))),False,99.38,99.9,32.43,32.53,16.01259994506836,1.0,,"['', 'acbd', 'a', 'acdd', 'c', 'aaacbbb', 'cc', 'dacbd', 'aa', 'ac', 'd', 'cdd', 'dcab']",1303,326
alternating bit protocol,F(a & ~(X(c|a))),(F (b & (X d))),False,99.38,100.0,22.6,22.6,16.022496938705444,3.172685411184876e+109,2.2724816789106272,"['', 'abbd', 'a', 'd', 'ddabd', 'b', 'dd', 'db', 'bcd', 'abdd', 'ac', 'cbcd', 'ab', 'ad', 'bd']",1303,326
alternating bit protocol,F(a & ~(X(c|a))) & F(b & ~(X(b|d))) &  F(c & ~(X(c|b))) &  F(d & ~(X(d|a))),false,True,99.38,100.0,100.0,100.0,0.2633841037750244,,,[''],1303,326
alternating bit protocol,F(a & X(c|a)) & F(b & X(b|d)) &  F(c & X(c|b)) &  F(d & X(d|a)),false,True,99.38,100.0,67.68,67.68,0.27204418182373047,,,[''],1303,326
alternating bit protocol,F(a & X(c|a)) & F(b & X(b|d)) &  F(c & X(c|b)) &  F(d & X(d|a)),false,True,99.38,100.0,67.68,67.68,0.27356505393981934,,,[''],1303,326
alternating bit protocol,a -> (F(a & X(c|a)) & F(b & X(b|d)) &  F(c & X(c|b)) &  F(d & X(d|a))),((b | (a | c)) -> (X c)),False,99.38,99.9,65.48,65.57,16.01746416091919,4.3834450569437925e+71,1.131097610835322,"['c', '', 'a', 'acbddacbcbcdd', 'b', 'aacccdbddaccbdd']",1303,326
alternating bit protocol,F(a U c) & F(c U b) & F(b U d) & F(d U a),(F (X (X a))),False,99.38,100.0,20.79,20.79,16.018753051757812,2053173977.1665587,6.267302652902309,"['', 'dacbdacdd', 'd', 'b', 'c', 'ca', 'db', 'dd', 'cc', 'a', 'ddc', 'dddacddbcdadd', 'bad', 'abb', 'acbbbddad', 'cca']",1303,326
